Error Code,Module,Severity,Type,Message Template (EN),Business Area,Technical Area
ERR.CORE.UNIT.CREATE.FAILED,UNIT,HIGH,System,Failed to create unit: {errorMessage},Organization Management,Unit Service
ERR.CORE.UNIT.CREATE.DUPLICATE_REFERENCE,UNIT,MEDIUM,Business,Unit with policeReferenceId {policeReferenceId} already exists,Organization Management,Unit Service
ERR.CORE.UNIT.CREATE.INVALID_PARENT,UNIT,MEDIUM,Business,Parent unit with ID {parentUnitId} does not exist,Organization Management,Unit Service
ERR.CORE.UNIT.CREATE.INVALID_DEPARTMENT,UNIT,MEDIUM,Business,Department with ID {departmentId} does not exist,Organization Management,Unit Service
ERR.CORE.UNIT.CREATE.INVALID_UNIT_TYPE,UNIT,MEDIUM,Business,Unit type with ID {unitTypeId} does not exist,Organization Management,Unit Service
ERR.CORE.UNIT.CREATE.INVALID_DISTRICT,UNIT,MEDIUM,Business,District with ID {districtId} does not exist,Organization Management,Unit Service
ERR.CORE.UNIT.CREATE.INVALID_RESPONSIBLE_USER,UNIT,MEDIUM,Business,Responsible user with ID {responsibleUserId} does not exist,Organization Management,Unit Service
ERR.CORE.UNIT.CREATE.INVALID_PROXY_USER,UNIT,MEDIUM,Business,Proxy user with ID {proxyUserId} does not exist,Organization Management,Unit Service
ERR.CORE.UNIT.UPDATE.NOT_FOUND,UNIT,MEDIUM,Business,Unit with ID {unitId} not found,Organization Management,Unit Service
ERR.CORE.UNIT.UPDATE.FAILED,UNIT,HIGH,System,Failed to update unit {unitId}: {errorMessage},Organization Management,Unit Service
ERR.CORE.UNIT.UPDATE.CIRCULAR_HIERARCHY,UNIT,HIGH,Business,Circular hierarchy detected: Unit {unitId} cannot be its own ancestor,Organization Management,Unit Service
ERR.CORE.UNIT.UPDATE.DUPLICATE_REFERENCE,UNIT,MEDIUM,Business,Another unit with policeReferenceId {policeReferenceId} already exists,Organization Management,Unit Service
ERR.CORE.UNIT.DELETE.NOT_FOUND,UNIT,MEDIUM,Business,Unit with ID {unitId} not found,Organization Management,Unit Service
ERR.CORE.UNIT.DELETE.HAS_CHILDREN,UNIT,HIGH,Business,Cannot delete unit {unitId} as it has {childCount} child units,Organization Management,Unit Service
ERR.CORE.UNIT.DELETE.HAS_CHILDREN_PATH,UNIT,HIGH,Business,Cannot delete unit. This unit appears in hierarchy path of other units,,
ERR.CORE.UNIT.DELETE.HAS_PERSONNEL,UNIT,HIGH,Business,Cannot delete unit {unitId} as it has assigned personnel,Organization Management,Unit Service
ERR.CORE.UNIT.DELETE.FAILED,UNIT,HIGH,System,Failed to delete unit {unitId}: {errorMessage},Organization Management,Unit Service
ERR.CORE.UNIT.GET.NOT_FOUND,UNIT,LOW,Business,Unit with ID {unitId} not found,Organization Management,Unit Service
