_id,errorCode,errorType,errorSeverity,log,moduleId,businessArea,technicalArea,tool,partnerSystem,thirdParty,messages[0].language,messages[1].language,messages[0].template,messages[1].template,devMessage,helpLink,videoLink,createdBy,createdAt,isDelete,isActive,createdIp,updatedIp,updatedAt,updatedBy
692884f11ce634d8fde56311,ERR.91CRPC.CRPC.REQUEST.CREATE.DB_ERROR,System,HIGH,true,691e06beea8033468e05f4f3,CrPCRequestManagement,Database,crpc_requests_service.py,,MongoDB,en,,Failed to create CrPC request. Database operation encountered an error. Please try again later or contact support.,,"DatabaseOperationError: CREATE operation failed in MongoDB collection 'crpc_requests'. Error details: {details}. Check MongoDB connection, collection permissions, and database logs.",,,68ee46b5d4c7a020fdf3a87c,2025-11-27T17:05:53.607Z,false,true,,,,
692884f11ce634d8fde56316,ERR.91CRPC.CRPC.REQUEST.GET.WITHPIPELINES.DB_ERROR,System,HIGH,true,691e06beea8033468e05f4f3,CrPCRequestManagement,Database,crpc_requests_service.py,,MongoDB,en,,Failed to retrieve CrPC request with pipelines. Database query encountered an error. Please try again later or contact support.,,"DatabaseOperationError: GET_WITH_PIPELINES operation failed in MongoDB collection 'crpc_requests'. Error details: {details}. Check MongoDB connection, query syntax, and database logs.",,,68ee46b5d4c7a020fdf3a87c,2025-11-27T17:05:53.653Z,false,true,,,,
692972d3e09336d9bac1032b,ERR.SYSTEM.DATABASE.CONNECT.TIMEOUT.HTTP_504.SEV_CRITICAL,System,CRITICAL,true,691f95b45cab830ebba7b101,System Startup,DATABASE,Database Connector,MongoDB,MongoDB Atlas,en,te,Database connection timed out. Please check network connectivity.,డేటాబేస్ కనెక్షన్ టైమ్ అవుట్ అయింది. దయచేసి నెట్‌వర్క్ కనెక్షన్‌ని తనిఖీ చేయండి.,Database connection timeout.,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:00:51.854Z,false,true,,,,
6929731ee09336d9bac10335,ERR.SYSTEM.DATABASE.TRANSACTION.FAILED.HTTP_500.SEV_ERROR,System,HIGH,true,691f95b45cab830ebba7b101,Database Operations,DATABASE,Database Transaction Manager,MongoDB,MongoDB Atlas,en,te,Database transaction failed. Changes have been rolled back.,డేటాబేస్ ట్రాన్సాక్షన్ విఫలమైంది. మార్పులు రద్దు చేయబడ్డాయి.,Database transaction failed.,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:02:06.574Z,false,true,,,,
69297403e09336d9bac1033d,ERR.SYSTEM.BACKEND.CONNECT.UNAVAILABLE.HTTP_503.SEV_CRITICAL,System,CRITICAL,true,691f95b45cab830ebba7b101,System,BACKEND,Backend API,,,en,te,The service is temporarily unavailable. Please try again later.,సర్వీస్ తాత్కాలికంగా అందుబాటులో లేదు. దయచేసి కొంతసేపటి తరువాత ప్రయత్నించండి.,Backend service unavailable.,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:05:55.633Z,false,true,,,,
69297403e09336d9bac1033e,ERR.SYSTEM.UNKNOWN.UNKNOWN.UNKNOWN.HTTP_500.SEV_ERROR,System,HIGH,true,691f95b45cab830ebba7b101,System,UNKNOWN,Unknown,,,en,te,Something went wrong. Please try again.,ఏదో తప్పు జరిగింది. దయచేసి మళ్లీ ప్రయత్నించండి.,Unknown system error.,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:05:55.642Z,false,true,,,,
692974bce09336d9bac10341,ERR.SYSTEM.SHUTDOWN.GRACEFUL.FAILED.HTTP_500.SEV_WARN,System,HIGH,true,691f95b45cab830ebba7b101,System Shutdown,SHUTDOWN,Shutdown Handler,,,en,te,Graceful shutdown failed. Some connections may not have closed properly.,గ్రేస్‌ఫుల్ షట్‌డౌన్ విఫలమైంది. కొన్ని కనెక్షన్లు సరిగ్గా మూసుకోకపోయి ఉండవచ్చు.,Graceful shutdown failed.,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:09:00.535Z,false,true,,,,
69297701e09336d9bac10351,ERR.ACCESS.AUTH.LOGIN.LOCKED.HTTP_403.SEV_WARN,Business,MEDIUM,true,691f95b45cab830ebba7b101,Authentication,AUTH,Auth Service,,,en,te,Account is locked due to multiple failed attempts. Please contact administrator.,అనేక విఫలమైన ప్రయత్నాల కారణంగా ఖాతా లాక్ చేయబడింది. దయచేసి నిర్వాహకున్ని సంప్రదించండి.,Account locked.,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:18:41.612Z,false,true,,,,
69297701e09336d9bac10353,ERR.ACCESS.AUTH.CHECK.UNAUTHORIZED.HTTP_401.SEV_ERROR,Business,HIGH,true,691f95b45cab830ebba7b101,Authentication,AUTH,Auth Service,,,en,te,Please log in to continue.,దయచేసి కొనసాగడానికి లాగిన్ అవ్వండి.,Unauthorized access attempt.,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:18:41.636Z,false,true,,,,
69297810e09336d9bac10355,ERR.ACCESS.TOKEN.VALIDATE.INVALID.HTTP_401.SEV_ERROR,Business,HIGH,true,691f95b45cab830ebba7b101,Authentication,TOKEN,Token Validator,,,en,te,Invalid authentication token. Please log in again.,చెల్లని ఆథెంటికేషన్ టోకెన్. దయచేసి మళ్లీ లాగిన్ అవ్వండి.,Invalid token.,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:23:12.534Z,false,true,,,,
692978fee09336d9bac10364,ERR.DOC2DATA.CATEGORY.CLASSIFY.FAILED.HTTP_500.SEV_ERROR,System,HIGH,true,691f95b45cab830ebba7b101,Document Classification,CATEGORY,Category Classifier,Microsoft,Azure OpenAI,en,te,Failed to classify document. Please reupload.,డాక్యుమెంట్‌ను వర్గీకరించడంలో విఫలమైంది. దయచేసి కేటగిరీని చేతితో ఎంచుకోండి.,Document classification failed.,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:27:10.357Z,false,true,,,,
692978fee09336d9bac10366,ERR.DOC2DATA.CATEGORY.CLASSIFY.LOWCONFIDENCE.HTTP_200.SEV_INFO,Business,LOW,false,691f95b45cab830ebba7b101,Document Classification,CATEGORY,Category Classifier,Microsoft,Azure OpenAI,en,te,Category identified with low confidence. Please verify.,తక్కువ నమ్మకంతో కేటగిరీ గుర్తించబడింది. దయచేసి ధృవీకరించండి.,Low confidence classification.,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:27:10.376Z,false,true,,,,
692979f3e09336d9bac1036b,ERR.DOC2DATA.YOLO.DETECT.FAILED.HTTP_500.SEV_ERROR,System,HIGH,true,691f95b45cab830ebba7b101,Signature/Stamp Detection,YOLO,YOLO Detector,,null,en,te,Failed to detect signatures and stamps. Please try again.,సంతకాలు మరియు స్టాంప్‌లను గుర్తించడంలో విఫలమైంది. దయచేసి మళ్లీ ప్రయత్నించండి.,YOLO detection failed.,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:31:15.914Z,false,true,,,,
692979f3e09336d9bac1036f,ERR.DOC2DATA.EXTRACT.VALIDATE.FORMAT.HTTP_400.SEV_WARN,Business,MEDIUM,true,691f95b45cab830ebba7b101,AI Document Processing,EXTRACT,AI Extraction Service,,null,en,te,This document format is not supported for extraction.,ఈ డాక్యుమెంట్ ఫార్మట్ ఎక్స్‌ట్రాక్షన్ కోసం మద్దతు ఇవ్వదు.,Unsupported extract format.,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:31:15.951Z,false,true,,,,
69297a37e09336d9bac10375,ERR.DOC2DATA.YOLO.MODEL.UNAVAILABLE.HTTP_503.SEV_CRITICAL,Integration,CRITICAL,true,691f95b45cab830ebba7b101,Signature/Stamp Detection,YOLO,YOLO Model,,null,en,te,Signature/stamp detection model is unavailable. Processing will continue without detection.,స్టాంప్/సంతకం మోడల్ అందుబాటులో లేదు. గుర్తింపు లేకుండానే ప్రాసెసింగ్ కొనసాగుతుంది.,YOLO model unavailable.,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:32:23.450Z,false,true,,,,
69297c1fe09336d9bac1037f,ERR.DOC2DATA.DOCUMENT.READ.NETWORK,Integration,HIGH,true,691f95b45cab830ebba7b101,Document Management,DOCUMENT,Document API,MongoDB,MongoDB Atlas,en,te,Could not load the document. Please check your connection.,డాక్యుమెంట్‌ను లోడ్ చేయలేకపోయాం. దయచేసి మీ కనెక్షన్‌ను తనిఖీ చేయండి.,Document load network error,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:40:31.342Z,false,true,,,,
69297c99e09336d9bac10384,ERR.DOC2DATA.DOCUMENT.DELETE.FORBIDDEN,Business,MEDIUM,true,691f95b45cab830ebba7b101,Document Management,DOCUMENT,Document API,,null,en,te,You do not have permission to delete this document.,ఈ డాక్యుమెంట్‌ను తొలగించే అనుమతి మీకు లేదు.,Delete forbidden,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:42:33.788Z,false,true,,,,
69297c99e09336d9bac1038d,ERR.DOC2DATA.FILE.DELETE.FAILED,System,HIGH,true,691f95b45cab830ebba7b101,File Storage,FILE,File Storage Service,Microsoft,Azure Blob Storage,en,te,Failed to delete file from storage.,స్టోరేజ్ నుండి ఫైల్ తొలగించడంలో విఫలమైంది.,File delete failure,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:42:33.877Z,false,true,,,,
69297d10e09336d9bac1038e,ERR.DOC2DATA.DASHBOARD.READ.NETWORK,Integration,HIGH,true,691f95b45cab830ebba7b101,Dashboard,DASHBOARD,Dashboard API,MongoDB,MongoDB Atlas,en,te,Could not load dashboard. Please refresh the page.,డాష్‌బోర్డ్‌ను లోడ్ చేయలేకపోయాం. దయచేసి పేజీని రిఫ్రెష్ చేయండి.,Dashboard load network error,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:44:32.091Z,false,true,,,,
69297d10e09336d9bac10394,ERR.DOC2DATA.EXPORT.DOWNLOAD.FAILED,Integration,HIGH,true,691f95b45cab830ebba7b101,Export,EXPORT,Export Service,,null,en,te,Failed to download export file. Please try again.,ఎగుమతి ఫైల్‌ని డౌన్‌లోడ్ చేయడం విఫలమైంది. మళ్లీ ప్రయత్నించండి.,Export download network error,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:44:32.144Z,false,true,,,,
69297d10e09336d9bac10397,ERR.DOC2DATA.MASTERDATA.UPDATE.FAILED,System,HIGH,true,691f95b45cab830ebba7b101,Master Data,MASTERDATA,Master Data API,MongoDB,MongoDB Atlas,en,te,Failed to update master data entry.,మాస్టర్ డేటా ఎంట్రీ నవీకరణ విఫలమైంది.,Master data update failure,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T10:44:32.172Z,false,true,,,,
6929a267e09336d9bac103a4,ERR.ICP.DOCUMENT.TYPE.UNSUPPORTED,Business,MEDIUM,false,691f952a5cab830ebba7b100,DocumentManagement,ValidationService,exceptions.py,,null,en,te,Document type is not supported.,డాక్యుమెంట్ రకం మద్దతు ఇవ్వబడలేదు.,Unsupported document type,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T13:23:51.920Z,false,true,,,,
6929a267e09336d9bac103a7,ERR.ICP.FILE.UPLOAD.SIZE_EXCEEDED,Business,MEDIUM,false,691f952a5cab830ebba7b100,FileManagement,FileUploadService,document_service.py,Microsoft,AzureBlob storage,en,te,Uploaded file exceeds size limit.,అప్‌లోడ్ చేసిన ఫైల్ పరిమితిని మించిపోయింది.,File size exceeded limit,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T13:23:51.970Z,false,true,,,,
6929a267e09336d9bac103a9,ERR.ICP.FILE.UPLOAD.CORRUPTED,System,HIGH,true,691f952a5cab830ebba7b100,FileManagement,FileUploadService,exceptions.py,Microsoft,AzureBlob storage,en,te,Uploaded file is corrupted.,అప్‌లోడ్ చేసిన ఫైల్ దెబ్బతింది.,Corrupted file upload error,https://example.com/,https://example.com/,68ee46b5d4c7a020fdf3a87c,2025-11-28T13:23:51.988Z,false,true,,,,
692ac8a7e5b778fc0f8765fb,ERR.HTTP.400.BAD_REQUEST,System,MEDIUM,true,,,,,,,en,,The request contains invalid data. Please correct it and try again.,,,,,68ee46b5d4c7a020fdf3a87c,2025-11-29T10:19:19.469Z,false,true,,,,
692ac8a7e5b778fc0f876600,ERR.HTTP.406.NOT_ACCEPTABLE,System,MEDIUM,true,,,,,,,en,,An unexpected error occurred.,,,,,68ee46b5d4c7a020fdf3a87c,2025-11-29T10:19:19.512Z,false,true,,,,
692ac8a7e5b778fc0f876603,ERR.HTTP.415.UNSUPPORTED_MEDIA,System,MEDIUM,true,,,,,,,en,,The uploaded data format is not supported.,,,,,68ee46b5d4c7a020fdf3a87c,2025-11-29T10:19:19.532Z,false,true,,,,
692ac8a7e5b778fc0f876605,ERR.HTTP.500.INTERNAL,System,CRITICAL,true,,,,,,,en,,The server encountered an unexpected problem.,,,,,68ee46b5d4c7a020fdf3a87c,2025-11-29T10:19:19.546Z,false,true,,,,
692ac8a7e5b778fc0f876610,ERR.DB.AUTH_FAILED,System,HIGH,true,,,,,,,en,,Database authentication failed.,,,,,68ee46b5d4c7a020fdf3a87c,2025-11-29T10:19:19.621Z,false,true,,,,
692ac8a8e5b778fc0f87661e,ERR.SYSTEM.FILE_READ_ERROR,System,CRITICAL,true,,,,,,,en,,The system could not read the file.,,,,,68ee46b5d4c7a020fdf3a87c,2025-11-29T10:19:20.545Z,false,true,,,,
692ac8a8e5b778fc0f876624,ERR.SYSTEM.CPU_OVERLOAD,System,CRITICAL,true,,,,,,,en,,The system is overloaded. Try again later.,,,,,68ee46b5d4c7a020fdf3a87c,2025-11-29T10:19:20.585Z,false,true,,,,
692ac8a9e5b778fc0f876632,ERR.BUSINESS.INVALID_INPUT,Business,MEDIUM,true,,,,,,,en,,The provided input does not meet business rules.,,,,,68ee46b5d4c7a020fdf3a87c,2025-11-29T10:19:21.516Z,false,true,,,,
692ac8a9e5b778fc0f876634,ERR.BUSINESS.INVALID_STATE,Business,MEDIUM,true,,,,,,,en,,This action cannot be performed in the current state.,,,,,68ee46b5d4c7a020fdf3a87c,2025-11-29T10:19:21.529Z,false,true,,,,
692ac8aae5b778fc0f876645,ERR.FILE.UNSUPPORTED_FILE_TYPE,System,LOW,true,,,,,,,en,,An unexpected error occurred.,,,,,68ee46b5d4c7a020fdf3a87c,2025-11-29T10:19:21.641Z,false,true,,,,
692ac8aae5b778fc0f876650,ERR.UNIQUE.DUPLICATE,Business,HIGH,true,,,,,,,en,,{fieldName} already exists,,,,,68ee46b5d4c7a020fdf3a87c,2025-11-29T10:19:22.545Z,false,true,,,,
692ad430e5b778fc0f8766b9,ERR.CORE.UNIT.UPDATE.NOT_FOUND,Business,MEDIUM,true,691f09e9cbf64adcc11754d2,Organization Management,Unit Service,,,,en,,Unit with ID {unitId} not found,,,,,68ee46b5d4c7a020fdf3a87c,2025-11-29T11:08:32.203Z,false,true,,,,
692ad430e5b778fc0f8766be,ERR.CORE.UNIT.DELETE.HAS_CHILDREN,Business,HIGH,true,691f09e9cbf64adcc11754d2,Organization Management,Unit Service,,,,en,,Cannot delete unit {unitId} as it has {childCount} child units,,,,,68ee46b5d4c7a020fdf3a87c,2025-11-29T11:08:32.246Z,false,true,,,,
692ad431e5b778fc0f8766dc,ERR.CORE.UNIT_VILLAGE.LIST.FAILED,System,MEDIUM,true,691f09e9cbf64adcc11754d2,Organization Management,Unit Village Service,,,,en,,Failed to retrieve unit villages list: {errorMessage},,,,,68ee46b5d4c7a020fdf3a87c,2025-11-29T11:08:33.497Z,false,true,,,,
692ad431e5b778fc0f8766e4,ERR.CORE.PERSONNEL.UPDATE.FAILED,System,HIGH,true,691f09e9cbf64adcc11754d2,Human Resources,Personnel Service,,,,en,,Failed to update personnel {personnelId}: {errorMessage},,,,,68ee46b5d4c7a020fdf3a87c,2025-11-29T11:08:33.564Z,false,true,,,,
